user_input,response,reference,rater_1,rater_2,rater_3
I want to import a Japanese car with the steering wheel on the right side. Is that allowed?,"No, it is not allowed to import a vehicle with a right-hand steering wheel, except for vintage automobiles manufactured before 1960, in showroom condition, and/or for officially and legally sanctioned motorsports events, and off-road use, as stated in Republic Act No. 8506.","No, registering and importing right hand drive vehicles are prohibited except for certain exemptions like vintage automobiles or motorsports vehicles.",5,5,5
What is the blood alcohol content (BAC) limit for drivers?,"For private motor vehicles with a gross vehicle weight not exceeding 4,500kgs, the BAC limit is 0.05% or higher. For trucks, buses, motorcycles, and public utility vehicles, the BAC limit is more than 0.00%.","0.05% for drivers of private vehicles and 0.00% for drivers of trucks, buses, motorcycles and public utility vehicles,",5,5,5
What do you do during a field sobriety test?,"According to the provided context, during a field sobriety test, the driver is required to perform three standardized tests:

1. The Eye Test (Horizontal Gaze Nystagmus): This test requires the driver to gaze sideways following a moving object, and the officer looks for involuntary jerking of the driver's eyes.
2. The Walk-and-Turn: This test requires the driver to walk heel-to-toe along a straight line for nine steps, turn at the end, and return to the starting point without any difficulty.
3. The One-Leg Stand: This test requires the driver to stand on one leg six inches off the ground for 30 seconds.

The officer shall record the driver's responses to these tests and form part of the records of the case.","During a Field Sobriety the officer will instruct you to perform a series of task to initially assess and determine intoxication. The Eye Test (""horizontal gaze nystagmus"") refers to horizontal or lateral jerking of the driver's eyes as he or she gazes sideways following a moving object such as a pen or the tip of a penlight held by the officer from a distance of about one (1) foot away from the face of the driver. The Walk-and-Turn requires the driver to walk heel-to-toe along a straight line for nine (9) steps, tum at the end and return to the point of origin without any difficulty. The One-Leg Stand requires the driver to stand on either right or left leg with both arms on the side. The driver is instructed to keep the foot raised about six (6) inches off the
ground for thirty (30) seconds.",5,5,5
Are PUVs required to have speed limiters installed?,"Yes, PUVs are required to have speed limiters installed. According to Section 5 of Republic Act No. 10916, ""No covered vehicle shall be registered by the LTO or given a franchise by the LTFRB without the standard speed limiter installed and set in the vehicle in compliance with Section 4 and Section 6 hereof.""","Yes, Public Utility Vehicles (PUVs) are required to have speed limiters under REPUBLIC ACT No. 10916",5,5,5
What vehicles are required to have speed limiters installed?,"According to the provided context, the following vehicles are required to have speed limiters installed:

1. Public utility vehicles (PUVs)
2. Shuttle services (motor vehicles provided by government or private companies to transport employees to and from work premises or clients between designated origin and destination and carrying not less than four (4) passengers)
3. Tanker trucks (motor vehicles designated for transporting or carrying gas, oil or liquid, flammable, combustible, corrosive or hazardous materials or substances in bulk)
4. Certain types of vehicles as specified in Republic Act No. 10916 (specifically, vehicles that are already registered with any appropriate agency are required to comply with the speed limiter requirement not later than eighteen (18) months from the effectivity of the Act)

Note: The context does not provide a comprehensive list of all vehicles required to have speed limiters installed, but rather specifies certain types of vehicles.","Closed vans, haulers or cargo trailers, public utility vehicles, shuttle services, and tanker trucks",5,5,5
What is the fine and imprisonment penalty for tampering with a speed limiter?,"According to the provided context, the fine and imprisonment penalty for tampering with a speed limiter is as follows:

- First offense: A fine of thirty thousand pesos (P30,000.00) and imprisonment of not less than six (6) months but not more than three (3) years.

Note: The provision of this section shall be applied without prejudice to criminal prosecution or civil action under existing applicable laws.","Imprisonment of six (6) months to three (3) years and a fine of Php30,000.00",5,4,4
Whats are the penalties for failing to comply with the speed limiter regulation?,"First Offense: Fifty Thousand Pesos (Php 50,000.00) Plus, a one (1) month suspension of driver's license or three (3) months suspension of MV franchise.

Second Offense: Fifty Thousand Pesos (Php 50,000.00) 

Note: The penalty for the second offense is not specified in the provided context, it only mentions the amount for the second offense which is the same as the first offense.","Fifty Thousand Pesos (Php 50,000.00) fine and a (1) one month suspension of the driver’s license or a three-month suspension of the vehicle’s franchise for the first offense. Fifty Thousand Pesos (Php 50,000.00) fine and a (3) three month suspension of the driver’s license or a (6) six month suspension of the vehicle’s franchise for the second offense. Fifty Thousand Pesos (Php 50,000.00) fine and revocation driver’s license or a (1) one year suspension of the vehicle’s franchise for repeat offenders",3,3,3
What is the penalty for a first-time offender of the speed limiter regulation?,"According to the provided context, the penalty for a first-time offender of the speed limiter regulation is a fine of fifty thousand pesos (P50,000.00) and a suspension of the driver's license for a period of one (1) month or a franchise of a motor vehicle for a period of three (3) months, as the case may be.","A Fifty Thousand Pesos (Php 50,000.00) fine and a (1) one month suspension of the driver’s license or a three-month suspension of the vehicle’s franchise.",5,5,5
What is the penalty for a second-time offender of the speed limiter regulation?,"According to the provided context, for the second offense, the driver's license of the offender shall be suspended for a period of three (3) months or the franchise of a motor vehicle shall be suspended for a period of six (6) months, as the case may be, in addition to the fines herein imposed.","A Fifty Thousand Pesos (Php 50,000.00) fine and a (3) three month suspension of the driver’s license or a (6) six month suspension of the vehicle’s franchise.",5,5,5
What happens to repeat offenders of the speed limiter regulation?,"First offense: A driver, owner or operator who operates or allows a person to operate a motor vehicle without a speed limiter shall suffer a fine of Fifty Thousand Pesos (Php 50,000.00) and a one (1) month suspension of driver's license or three (3) months suspension of MV franchise.

Second offense: A driver, owner or operator who operates or allows a person to operate a motor vehicle without a speed limiter shall suffer a fine of Fifty Thousand Pesos (Php 50,000.00) and a one (1) month suspension of driver's license or three (3) months suspension of MV franchise.

Note: The provided context does not specify the penalties for repeat offenders beyond the second offense.","A Fifty Thousand Pesos (Php 50,000.00) fine and revocation driver’s license or a (1) one year suspension of the vehicle’s franchise.",3,3,3
Are motorcycle riders required to wear helmets even on short-distance rides?,"Yes, according to Republic Act No. 10054, motorcycle riders, including drivers and back riders, shall at all times wear standard protective motorcycle helmets while driving, whether long or short drives, in any type of road and highway.","All motorcycle riders, including drivers and back riders, shall at all times wear standard protective motorcycle helmets while driving, whether long or short drives, in any type of road and highway.",5,5,5
What is the penalty for the first offense of failing to secure a child in a restraint system?,"First offense: Php 1,000.00","A fine of One thousand pesos (Php1,000.00) shall be imposed for the first offense.",5,5,5
What is the penalty for the second offense of failing to secure a child in a restraint system?,"According to the provided context, the penalty for the second offense of failing to secure a child in a restraint system is Php 2,000.00.","A fine of Two thousand pesos (Php2,000.00) shall be imposed for the second offense.",5,5,5
What is the penalty for the third and succeeding offenses of failing to secure a child in a restraint system?,"According to Republic Act No. 11229, the penalty for the third and succeeding offenses of failing to secure a child in a restraint system is a fine of Php 5,000.00 and suspension of the driver's license for a period of one (1) year.","A fine of Five thousand pesos (Php5,000.00) and suspension of the driver’s license for one (1) year shall be imposed for the third and succeeding offenses.",5,5,5
Are there exceptions to the prohibition on children riding motorcycles?,"Yes, there are exceptions to the prohibition on children riding motorcycles. According to Republic Act No. 10666, the prohibition does not apply to cases where the child to be transported requires immediate medical attention (SEC. 5. Exception).",The prohibition shall not apply in cases of emergency when the child to be transported requires immediate medical attention.,5,5,5
What happens if I get caught the first time carrying a child on a motorcycle?,"First offense: You will be fined with an amount of three thousand pesos (P3,000.00).","A fine of Three thousand pesos (Php3,000.00) shall be imposed for the first offense.",5,5,5
What’s the penalty if I’m caught again letting a child ride on my motorcycle?,"Second offense: Five Thousand Pesos (Php 5,000.00) 

Additionally, for the third offense, the driver's license of the offender shall be suspended for a period of one (1) month.","A fine of Five thousand pesos (Php5,000.00) shall be imposed for the second offense.",5,5,5
What will happen if I keep violating the law about children riding on motorcycles?,"According to the Implementing Rules and Regulations (IRR) of Republic Act No. 10666, if you keep violating the law about children riding on motorcycles, the following penalties will be imposed:

First offense: You will be fined with an amount of Three Thousand Pesos (P3,000.00).
Second offense: You will be fined with an amount of Five Thousand Pesos (P5,000.00).
Third offense: You will be fined with an amount of Ten Thousand Pesos (P10,000.00) and your driver's license will be suspended for a period of one (1) month.

If you commit the third offense, your driver's license will be suspended for a period of one (1) month. If you commit the offense beyond the third time, your driver's license will be automatically revoked.

Additionally, if death or serious injuries result from your violation, you will be sentenced to one (1) year imprisonment without prejudice to the penalties provided under Act No. 3815, otherwise known as ""The Revised Penal Code of the Philippines,"" as amended.","A fine of Ten thousand pesos (Php10,000.00) and suspension of the driver’s license for one (1) month shall be imposed for the third and succeeding offenses.",3,3,3
What is the penalty for driving under the influence of alcohol if no one is hurt?,"According to Republic Act No. 10586, the penalty for driving under the influence of alcohol if no one is hurt is:

- Imprisonment for three (3) months
- A fine ranging from Twenty thousand pesos (Php 20,000.00) to Eighty thousand pesos (Php 80,000.00)

This is stated in Section 12 of the Implementing Rules and Regulations of Republic Act No. 10586, and also in Section 5 of the same Act.","If a person is found driving under the influence without causing physical injuries or homicide, the penalty shall be imprisonment for three (3) months and a fine ranging from Twenty Thousand Pesos (Php20,000.00) to Eighty Thousand Pesos (Php80,000.00).",5,5,5
What is the penalty if drunk driving causes physical injuries or death?,"According to the provided context, specifically Republic Act No. 10586, the penalty for drunk driving that causes physical injuries or death is as follows:

- If the violation resulted in physical injuries, the penalty provided in Article 263 of the Revised Penal Code or the penalty provided in the next preceding subparagraph, whichever is higher, and a fine ranging from One hundred thousand pesos (Php100,000.00) to Two hundred thousand pesos (Php200,000.00) shall be imposed.
- If the violation resulted in homicide, the penalty provided in Article 249 of the Revised Penal Code and a fine ranging from Three hundred thousand pesos (Php300,000.00) to Five hundred thousand pesos (Php500,000.00) shall be imposed.

Additionally, the non-professional driver's license shall be confiscated and suspended for a period of twelve (12) months for the first conviction and perpetually revoked for the second conviction. The professional driver's license shall also be confiscated and suspended for a period of twelve (12) months for the first conviction and perpetually revoked for the second conviction.","If the violation results in physical injuries, a fine ranging from One Hundred Thousand Pesos (Php100,000.00) to Two Hundred Thousand Pesos (Php200,000.00) shall be imposed. In cases where driving under the influence results in homicide, the fine shall range from Three Hundred Thousand Pesos (Php300,000.00) to Five Hundred Thousand Pesos (Php500,000.00).",5,5,5
What happens to the driver’s license if someone is caught driving under the influence?,"According to the provided context, specifically Document FDM-vol.-2-2nd-Edition.pdf and Document IRR of REPUBLIC ACT NO. 10586.pdf, if someone is caught driving under the influence, the following penalties apply:

- First offense: Php 2,000.00
- Second offense: Php 3,000.00 and suspension of the driver's license for a period of three (3) months
- Subsequent offense: Php 10,000.00 and suspension of the driver's license for a period of six (6) months

Additionally, a revoked non-professional driver shall be disqualified from being granted a driver's license for a period of two (2) years counted from the date of payment of the fine.",Non-professional license holders will have their license confiscated and suspended for a period of twelve (12) months for the first conviction and perpetually revoked for the second conviction. Professional license holders will have their license confiscated and perpetually revoked for the first conviction.,1,1,1
What is the penalty for a first offense of not wearing a seat belt while driving?,"According to the provided context, the penalty for a first offense of not wearing a seat belt while driving is Php 1,000.00.","A driver or front-seat passenger who fails to wear a seat belt for the first offense shall be fined between One Hundred Pesos (Php100.00) and One Thousand Pesos (Php1,000.00).",5,5,5
What is the penalty for a second offense of not wearing a seat belt?,"According to the provided context, the penalty for a second offense of not wearing a seat belt is a minimum fine of Two hundred pesos (P200) but not to exceed Two thousand pesos (P2,000) for the second violation.","For the second offense, the violator shall be fined between Two Hundred Pesos (Php200.00) and Two Thousand Pesos (Php2,000.00).",5,5,5
What happens to a driver who repeatedly violates the seat belt law?,"According to the provided context, for the seat belt law violation, the penalties are as follows:

First Offense: One thousand pesos (Php 1,000.00)
Second Offense: Two thousand pesos (Php 2,000.00)
Third and Succeeding Offenses: Five thousand pesos (Php 5,000.00) plus one (1) week suspension of driver's license counting from the payment of fine.

Additionally, for public utility vehicles, the driver and operator will be liable and fined a minimum of Three hundred pesos (P300) but not to exceed Three thousand pesos (P3,000) for every violation.

Note that the context also mentions that the owner and/or operator of the vehicle driven by the offender shall be directly and principally held liable together with the offender for the fine unless they can convincingly prove that they have exercised extraordinary diligence in the selection and supervision of their drivers.","For the third and succeeding offenses, the violator shall be fined between Five Hundred Pesos (Php500.00) and Five Thousand Pesos (Php5,000.00) and shall have their driver’s license suspended for one (1) week.",5,5,5
Are drivers and front-seat passengers required to wear seat belts at all times?,"According to the provided context, drivers and front-seat passengers are required to wear seat belts at all times while inside a vehicle of running engine on any road or thoroughfare.

For private vehicles, except for jeeps, jeepneys, vans, buses, and such other private vehicles as may be determined in the Implementing Rules and Regulations (IRR), front and back seat passengers are likewise required to use their seat belt devices at all times.

For public motor vehicles, the driver shall be required to immediately inform and require the front seat passengers upon boarding a vehicle of running engine to wear the prescribed seat belts.

Therefore, the answer is yes, drivers and front-seat passengers are required to wear seat belts at all times.","Yes. The driver and front-seat passengers of a motor vehicle are required to wear seat belts while inside a running vehicle on any street, road, or highway.",5,5,5
Can a private vehicle use sirens or blinkers in the Philippines?,"According to Presidential Decree No. 96, it is unlawful for the owner or possessor of any motor vehicle to use or attach to his vehicle any siren, bell, horn, whistle, or other similar gadgets that produce exceptionally loud or startling sound, including domelights, blinkers, and other similar signalling or flashing devices, except for motor vehicles designated for official use by the Armed Forces of the Philippines, National Bureau of Investigation, Land Transportation Commission, Police Departments, Fire Departments, and hospital ambulances.

First offense: The motor vehicle on which the unauthorized gadget or device is installed, mounted, or used shall be confiscated, and the owner or possessor shall be fined 600 pesos.

Second offense: The motor vehicle on which the unauthorized gadget or device is installed, mounted, or used shall be confiscated, and the owner or possessor shall be prosecuted for violation of this Decree before the military tribunal and, upon conviction thereof, shall suffer the penalty of imprisonment for six months and/or a fine of 600 pesos. In addition, the certificate of registration of the motor vehicle on which the unauthorized gadget or device is installed, mounted, or used shall be cancelled or revoked.","No. The use of sirens, bells, horns, whistles, blinkers, or similar gadgets that produce exceptionally loud or startling sounds is prohibited on private motor vehicles. Only authorized emergency and government vehicles are allowed.",5,5,5
Do electric cars need to follow the number coding scheme?,"Based on the provided context, there is no explicit mention of electric cars following the number coding scheme. However, Section 17 of Republic Act No. 11697 states that ""Private and public buildings and establishments constructed after the effectivity of this Act and pursuant to the National Building Code of the Philippines shall designate dedicated parking slots for the exclusive use of EVs...""

This implies that electric cars may have dedicated parking slots, but it does not explicitly state that they follow the number coding scheme. Therefore, the answer is unclear based on the provided context.

However, considering the context of Republic Act No. 11697, it is likely that electric cars will not follow the number coding scheme, as the Act aims to promote the use of electric vehicles and provide an enabling environment for their development.

To confirm, we would need more information or clarification from the context.",No. Electric and hybrid vehicles are exempt from the number-coding scheme or any similar traffic reduction program.,2,3,2
"I got caught hiring a fixer to get my license, what penalties am i facing?","According to the provided context, you are facing the following penalties:

A fine in the amount of Twenty thousand pesos (P20,000.00) shall be imposed upon an applicant for a driver's license found to have committed any of the following acts: 
1. Willful misrepresentation with respect to material information in one's application; 
2. Connivance with the officer in the irregular conduct of examinations or issuance of license; 
3. Falsification of documents; or 
4. Cheating during examinations.

In addition to the abovementioned fine, the driver's license of an erring applicant, if one is granted by reason of such misrepresentation, connivance, falsification or cheating, shall be revoked, and the applicant shall be prohibited from applying for a period of two (2) years. The repetition of such offense shall warrant the perpetual disqualification from being granted a driver's license in addition to the fine above-stated.","If you are caught hiring a fixer to obtain your driver’s license, you may face a fine of twenty thousand pesos (Php20,000.00). This penalty applies to applicants found guilty of any of the following acts: willful misrepresentation of material information in their application, connivance with an officer in the irregular conduct of examinations or issuance of a license, falsification of documents, or cheating during examinations.",5,5,5
Whats the minimum engine displacement for motorcycles to enter expressways?,"According to Document FDM-Vol.-1-2nd-Edition.pdf, the minimum engine displacement for motorcycles to enter expressways is 400cc.",Motorcycles should have at least 400cc (cubic centimeters) of engine displacement to be allowed on expressways,5,5,5
"I have a 300cc motorcycle, am i allowed to enter expressways?","No, you are not allowed to enter expressways with a 300cc motorcycle. According to the provided context, motorcycles with an engine displacement of below 400cc are not allowed to enter expressways at any time.","No, Motorcycles should have at least 400cc (cubic centimeters) of engine displacement to be allowed on expressways",5,5,5
"I have a 500cc motorcycle, am i allowed to enter expressways?","No, you are not allowed to enter expressways with a 500cc motorcycle. According to the provided context, the allowable motorcycle engine displacement for expressways is 400cc and above.","Yes, Motorcycles should have at least 400cc (cubic centimeters) of engine displacement to be allowed on expressways",1,1,1
Can I use earbuds while driving?,"According to the provided context, using a mobile communications device is considered distracted driving if done without the aid of a hands-free function or similar device. However, it is stated that using a mobile communications device is not considered distracted driving if done using the aid of a hands-free function or similar device such as earphones.

Therefore, you can use earbuds while driving as long as you are using them with a hands-free function.","Yes, however using it other than taking phone calls might constitute as distracted driving",5,5,5
